candidate_id,candidate_name,contest_type,county,fips,first_name,incumbent,last_name,party,party_name,pct_reporting,race_type,state,timestamp,total_votes,vote_pct,vote_pct_str,votes
8639,Donald Trump,PR,Autauga,01001,Donald,False,Trump,REP,Republican,100,P,Alabama,2024-06-10T04:26:11.000Z,9276,83,82.8,7678
60420,Nikki Haley,PR,Autauga,01001,Nikki,False,Haley,REP,Republican,100,P,Alabama,2024-06-10T04:26:11.000Z,9276,12,12.3,1143
8639,Donald Trump,PR,Baldwin,01003,Donald,False,Trump,REP,Republican,100,P,Alabama,2024-03-25T16:44:37.000Z,37802,80,80.0,30242
60420,Nikki Haley,PR,Baldwin,01003,Nikki,False,Haley,REP,Republican,100,P,Alabama,2024-03-25T16:44:37.000Z,37802,16,16.1,6093
8639,Donald Trump,PR,Barbour,01005,Donald,False,Trump,REP,Republican,100,P,Alabama,2024-06-10T04:27:32.000Z,2227,89,88.7,1975
60420,Nikki Haley,PR,Barbour,01005,Nikki,False,Haley,REP,Republican,100,P,Alabama,2024-06-10T04:27:32.000Z,2227,8,8.2,183
8639,Donald Trump,PR,Bibb,01007,Donald,False,Trump,REP,Republican,100,P,Alabama,2024-06-10T04:18:59.000Z,3014,93,93.4,2815
60420,Nikki Haley,PR,Bibb,01007,Nikki,False,Haley,REP,Republican,100,P,Alabama,2024-06-10T04:18:59.000Z,3014,4,4.5,135
8639,Donald Trump,PR,Blount,01009,Donald,False,Trump,REP,Republican,100,P,Alabama,2024-03-25T16:41:18.000Z,9671,91,91.3,8834
60420,Nikki Haley,PR,Blount,01009,Nikki,False,Haley,REP,Republican,100,P,Alabama,2024-03-25T16:41:18.000Z,9671,6,5.7,556
8639,Donald Trump,PR,Bullock,01011,Donald,False,Trump,REP,Republican,100,P,Alabama,2024-03-06T03:32:49.000Z,318,91,90.9,289
60420,Nikki Haley,PR,Bullock,01011,Nikki,False,Haley,REP,Republican,100,P,Alabama,2024-03-06T03:32:49.000Z,318,7,7.2,23
8639,Donald Trump,PR,Butler,01013,Donald,False,Trump,REP,Republican,100,P,Alabama,2024-06-10T04:22:17.000Z,2614,90,90.2,2357
60420,Nikki Haley,PR,Butler,01013,Nikki,False,Haley,REP,Republican,100,P,Alabama,2024-06-10T04:22:17.000Z,2614,7,7.4,194
8639,Donald Trump,PR,Calhoun,01015,Donald,False,Trump,REP,Republican,100,P,Alabama,2024-06-10T04:19:19.000Z,15313,86,86.1,13191
60420,Nikki Haley,PR,Calhoun,01015,Nikki,False,Haley,REP,Republican,100,P,Alabama,2024-06-10T04:19:19.000Z,15313,10,9.7,1491
8639,Donald Trump,PR,Chambers,01017,Donald,False,Trump,REP,Republican,100,P,Alabama,2024-06-10T04:19:31.000Z,4799,82,82.1,3939
60420,Nikki Haley,PR,Chambers,01017,Nikki,False,Haley,REP,Republican,100,P,Alabama,2024-06-10T04:19:31.000Z,4799,10,10.4,498
8639,Donald Trump,PR,Cherokee,01019,Donald,False,Trump,REP,Republican,100,P,Alabama,2024-03-25T16:37:58.000Z,4211,89,89.5,3768
60420,Nikki Haley,PR,Cherokee,01019,Nikki,False,Haley,REP,Republican,100,P,Alabama,2024-03-25T16:37:58.000Z,4211,8,8.2,346
8639,Donald Trump,PR,Chilton,01021,Donald,False,Trump,REP,Republican,100,P,Alabama,2024-03-25T16:54:27.000Z,7950,91,91.4,7272
60420,Nikki Haley,PR,Chilton,01021,Nikki,False,Haley,REP,Republican,100,P,Alabama,2024-03-25T16:54:27.000Z,7950,6,5.8,461
8639,Donald Trump,PR,Choctaw,01023,Donald,False,Trump,REP,Republican,100,P,Alabama,2024-06-10T04:19:41.000Z,1662,94,93.9,1560
60420,Nikki Haley,PR,Choctaw,01023,Nikki,False,Haley,REP,Republican,100,P,Alabama,2024-06-10T04:19:41.000Z,1662,5,4.7,79
8639,Donald Trump,PR,Clarke,01025,Donald,False,Trump,REP,Republican,100,P,Alabama,2024-06-10T04:22:27.000Z,3384,91,91.5,3096
60420,Nikki Haley,PR,Clarke,01025,Nikki,False,Haley,REP,Republican,100,P,Alabama,2024-06-10T04:22:27.000Z,3384,6,6.3,212
8639,Donald Trump,PR,Clay,01027,Donald,False,Trump,REP,Republican,100,P,Alabama,2024-03-25T16:42:43.000Z,3510,91,90.8,3189
60420,Nikki Haley,PR,Clay,01027,Nikki,False,Haley,REP,Republican,100,P,Alabama,2024-03-25T16:42:43.000Z,3510,7,6.7,234
8639,Donald Trump,PR,Cleburne,01029,Donald,False,Trump,REP,Republican,100,P,Alabama,2024-06-10T04:19:49.000Z,3639,90,90.0,3276
60420,Nikki Haley,PR,Cleburne,01029,Nikki,False,Haley,REP,Republican,100,P,Alabama,2024-06-10T04:19:49.000Z,3639,6,5.8,211
8639,Donald Trump,PR,Coffee,01031,Donald,False,Trump,REP,Republican,100,P,Alabama,2024-06-10T04:19:58.000Z,8790,86,86.3,7582
60420,Nikki Haley,PR,Coffee,01031,Nikki,False,Haley,REP,Republican,100,P,Alabama,2024-06-10T04:19:58.000Z,8790,10,9.8,859
8639,Donald Trump,PR,Colbert,01033,Donald,False,Trump,REP,Republican,100,P,Alabama,2024-06-10T04:25:39.000Z,8365,86,85.6,7157
60420,Nikki Haley,PR,Colbert,01033,Nikki,False,Haley,REP,Republican,100,P,Alabama,2024-06-10T04:25:39.000Z,8365,11,10.6,891
