Name,Reelection,ServedSince,Chamber,State,District,Ab
"Tuberville, Tommy",2026,2021,Senate,Alabama,,AL
"Moore, Barry",2026,2025,Congress,Alabama,1,AL
"Figures, Shomari",2026,2025,Congress,Alabama,2,AL
"Rogers, Mike",2026,2003,Congress,Alabama,3,AL
"Aderholt, Robert",2026,1997,Congress,Alabama,4,AL
"Strong, Dale",2026,2023,Congress,Alabama,5,AL
"Palmer, Gary",2026,2015,Congress,Alabama,6,AL
"Sewell, Terri",2026,2011,Congress,Alabama,7,AL
"Sullivan, Dan",2026,2015,Senate,Alaska,,AK
"Begich, Nicholas",2026,2025,Congress,Alaska, At Large,AK
"Radewagen, Aumua Amata",2026,2015,Congress,American Samoa,,#N/A
"Schweikert, David",2026,2023,Congress,Arizona,1,AZ
"Crane, Eli",2026,2023,Congress,Arizona,2,AZ
"Ansari, Yassamin",2026,2025,Congress,Arizona,3,AZ
"Stanton, Greg",2026,2023,Congress,Arizona,4,AZ
"Biggs, Andy",2026,2017,Congress,Arizona,5,AZ
"Ciscomani, Juan",2026,2023,Congress,Arizona,6,AZ
"Grijalva, Adelita",2026,2025,Congress,Arizona,7,AZ
"Hamadeh, Abraham",2026,2025,Congress,Arizona,8,AZ
"Gosar, Paul",2026,2023,Congress,Arizona,9,AZ
"Cotton, Tom",2026,2015,Senate,Arkansas,,AR
"Crawford, Eric “Rick”",2026,2011,Congress,Arkansas,1,AR
"Hill, French",2026,2015,Congress,Arkansas,2,AR
"Womack, Steve",2026,2011,Congress,Arkansas,3,AR
"Weerman, Bruce",2026,2015,Congress,Arkansas,4,AR
"DeSaulnier, Mark",2026,2023,Congress,California,10,CA
"Pelosi, Nancy",2026,2023,Congress,California,11,CA
"Simon, Lateefah",2026,2025,Congress,California,12,CA
"Gray, Adam",2026,2025,Congress,California,13,CA
"Swalwell, Eric",2026,2023,Congress,California,14,CA
"Mullin, Kevin",2026,2023,Congress,California,15,CA
"Liccardo, Sam",2026,2025,Congress,California,16,CA
"Khanna, Ro",2026,2017,Congress,California,17,CA
"Lofgren, Zoe",2026,2023,Congress,California,18,CA
"Panetta, Jimmy",2026,2023,Congress,California,19,CA
"Huffman, Jared",2026,2013,Congress,California,2,CA
"Fong, Vince",2026,2024,Congress,California,20,CA
"Coa, Jim",2026,2023,Congress,California,21,CA
"Valadao, David",2026,2023,Congress,California,22,CA
"Obernolte, Jay",2026,2023,Congress,California,23,CA
"Carbajal, Salud",2026,2017,Congress,California,24,CA
"Ruiz, Raul",2026,2023,Congress,California,25,CA
"Brownley, Julia",2026,2013,Congress,California,26,CA
"Whitesides, George",2026,2025,Congress,California,27,CA
"Chu, Judy",2026,2023,Congress,California,28,CA
"Rivas, Luz",2026,2025,Congress,California,29,CA
"Kiley, Kevin",2026,2023,Congress,California,3,CA
"Friedman, Laura",2026,2025,Congress,California,30,CA
"Cisneros, Gilbert",2026,2025,Congress,California,31,CA
"Sherman, Brad",2026,2023,Congress,California,32,CA
"Aguilar, Pete",2026,2023,Congress,California,33,CA
"Gomez, Jimmy",2026,2017,Congress,California,34,CA
"Torres, Northma",2026,2015,Congress,California,35,CA
"Lieu, Ted",2026,2023,Congress,California,36,CA
"Kamlager-Dove, Sydney",2026,2023,Congress,California,37,CA
"Sánchez, Linda",2026,2013,Congress,California,38,CA
"Takano, Mark",2026,2023,Congress,California,39,CA
"Thompson, Mike",2026,2023,Congress,California,4,CA
"Kim, Young",2026,2023,Congress,California,40,CA
"Calvert, Ken",2026,2023,Congress,California,41,CA
"Garcia, Robert Julio",2026,2023,Congress,California,42,CA
"Waters, Maxine",2026,2013,Congress,California,43,CA
"Barragán, Nanette",2026,2017,Congress,California,44,CA
"Tran, Derek",2026,2025,Congress,California,45,CA
"Correa, Luis",2026,2017,Congress,California,46,CA
"Min, Dave",2026,2025,Congress,California,47,CA
"Issa, Darrell",2026,2023,Congress,California,48,CA
"Levin, Mike",2026,2019,Congress,California,49,CA
"McClintock, Tom",2026,2023,Congress,California,5,CA
"Peters, Scott",2026,2023,Congress,California,50,CA
"Jacobs, Sara",2026,2023,Congress,California,51,CA
"Vargas, Juan",2026,2023,Congress,California,52,CA
"Bera, Ami",2026,2023,Congress,California,6,CA
"Matsui, Doris",2026,2023,Congress,California,7,CA
"Garamendi, John",2026,2023,Congress,California,8,CA
"Harder, Josh",2026,2023,Congress,California,9,CA
"Hickenlooper, John",2026,2021,Senate,Colorado,,CO
"DeGette, Diana",2026,1997,Congress,Colorado,1,CO
"Neguse, Joe",2026,2019,Congress,Colorado,2,CO
"Hurd, Jeff",2026,2025,Congress,Colorado,3,CO
"Boebert, Lauren",2026,2025,Congress,Colorado,4,CO
"Crank, Jeff",2026,2025,Congress,Colorado,5,CO
"Crow, Jason",2026,2019,Congress,Colorado,6,CO
"Pettersen, Brittany",2026,2023,Congress,Colorado,7,CO
"Evans, Gabe",2026,2025,Congress,Colorado,8,CO
"Larson, John",2026,1999,Congress,Connecticut,1,CT
"Courtney, Joe",2026,2007,Congress,Connecticut,2,CT
"DeLauro, Rosa",2026,1991,Congress,Connecticut,3,CT
"Himes, James “Jim”",2026,2009,Congress,Connecticut,4,CT
"Hayes, Jahana",2026,2019,Congress,Connecticut,5,CT
"Coons, Chriopher",2026,2010,Senate,Delaware,,DE
"McBride, Sarah",2026,2025,Congress,Delaware,At Large,DE
"Northton, EleaNorth",2026,1991,Congress,District of Columbia,,#N/A
"Moody, Ashley",2026,2025,Senate,Florida,,FL
"Patronis, Jimmy",2026,2025,Congress,Florida,1,FL
"Fro, Maxwell",2026,2023,Congress,Florida,10,FL
"Weber, Daniel",2026,2017,Congress,Florida,11,FL
"Bilirakis, Gus",2026,2013,Congress,Florida,12,FL
"Luna, Anna",2026,2023,Congress,Florida,13,FL
"Caor, Kathy",2026,2013,Congress,Florida,14,FL
"Lee, Laurel",2026,2023,Congress,Florida,15,FL
"Buchanan, Vern",2026,2013,Congress,Florida,16,FL
"Steube, Gregory",2026,2019,Congress,Florida,17,FL
"Franklin, Scott",2026,2023,Congress,Florida,18,FL
"Donalds, Byron",2026,2021,Congress,Florida,19,FL
"Dunn, Neal",2026,2017,Congress,Florida,2,FL
"Cherfilus-McCormick, Sheila",2026,2022,Congress,Florida,20,FL
"Ma, Brian",2026,2023,Congress,Florida,21,FL
"Frankel, Lois",2026,2023,Congress,Florida,22,FL
"Moskowitz, Jared",2026,2023,Congress,Florida,23,FL
"Wilson, Frederica",2026,2013,Congress,Florida,24,FL
"Wasserman Schultz, Debbie",2026,2023,Congress,Florida,25,FL
"Diaz-Balart, Mario",2026,2023,Congress,Florida,26,FL
"Salazar, Maria",2026,2021,Congress,Florida,27,FL
"Gimenez, Carlos",2026,2023,Congress,Florida,28,FL
"Cammack, Katherine “Kat”",2026,2021,Congress,Florida,3,FL
