candidate_id,candidate_name,contest_type,county,fips,first_name,incumbent,last_name,party,party_name,pct_reporting,race_type,state,timestamp,total_votes,vote_pct,vote_pct_str,votes
8639,Donald Trump,PR,Alamance,37001,Donald,False,Trump,REP,Republican,100,P,North Carolina,2024-06-16T16:13:51.000Z,16694,78,78.2,13049
60420,Nikki Haley,PR,Alamance,37001,Nikki,False,Haley,REP,Republican,100,P,North Carolina,2024-06-16T16:13:51.000Z,16694,19,19.0,3180
8639,Donald Trump,PR,Alexander,37003,Donald,False,Trump,REP,Republican,100,P,North Carolina,2024-06-16T16:21:53.000Z,6309,83,82.8,5226
60420,Nikki Haley,PR,Alexander,37003,Nikki,False,Haley,REP,Republican,100,P,North Carolina,2024-06-16T16:21:53.000Z,6309,15,14.9,937
8639,Donald Trump,PR,Alleghany,37005,Donald,False,Trump,REP,Republican,100,P,North Carolina,2024-06-16T16:24:19.000Z,2310,81,81.1,1873
60420,Nikki Haley,PR,Alleghany,37005,Nikki,False,Haley,REP,Republican,100,P,North Carolina,2024-06-16T16:24:19.000Z,2310,16,16.1,372
8639,Donald Trump,PR,Anson,37007,Donald,False,Trump,REP,Republican,100,P,North Carolina,2024-06-16T16:22:20.000Z,1593,87,87.0,1386
60420,Nikki Haley,PR,Anson,37007,Nikki,False,Haley,REP,Republican,100,P,North Carolina,2024-06-16T16:22:20.000Z,1593,12,11.5,184
8639,Donald Trump,PR,Ashe,37009,Donald,False,Trump,REP,Republican,100,P,North Carolina,2024-06-16T16:18:24.000Z,5153,78,78.3,4037
60420,Nikki Haley,PR,Ashe,37009,Nikki,False,Haley,REP,Republican,100,P,North Carolina,2024-06-16T16:18:24.000Z,5153,19,19.2,988
8639,Donald Trump,PR,Avery,37011,Donald,False,Trump,REP,Republican,100,P,North Carolina,2024-06-16T16:17:34.000Z,3915,79,78.8,3084
60420,Nikki Haley,PR,Avery,37011,Nikki,False,Haley,REP,Republican,100,P,North Carolina,2024-06-16T16:17:34.000Z,3915,18,17.9,700
8639,Donald Trump,PR,Beaufort,37013,Donald,False,Trump,REP,Republican,100,P,North Carolina,2024-06-16T16:16:55.000Z,7665,81,81.1,6217
60420,Nikki Haley,PR,Beaufort,37013,Nikki,False,Haley,REP,Republican,100,P,North Carolina,2024-06-16T16:16:55.000Z,7665,16,16.3,1250
8639,Donald Trump,PR,Bertie,37015,Donald,False,Trump,REP,Republican,100,P,North Carolina,2024-06-17T11:16:43.000Z,1099,88,87.8,965
60420,Nikki Haley,PR,Bertie,37015,Nikki,False,Haley,REP,Republican,100,P,North Carolina,2024-06-17T11:16:43.000Z,1099,10,9.5,105
8639,Donald Trump,PR,Bladen,37017,Donald,False,Trump,REP,Republican,100,P,North Carolina,2024-06-16T16:18:34.000Z,3270,90,90.4,2955
60420,Nikki Haley,PR,Bladen,37017,Nikki,False,Haley,REP,Republican,100,P,North Carolina,2024-06-16T16:18:34.000Z,3270,8,8.0,263
8639,Donald Trump,PR,Brunswick,37019,Donald,False,Trump,REP,Republican,100,P,North Carolina,2024-06-16T16:15:38.000Z,26554,72,71.8,19072
60420,Nikki Haley,PR,Brunswick,37019,Nikki,False,Haley,REP,Republican,100,P,North Carolina,2024-06-16T16:15:38.000Z,26554,26,25.7,6820
8639,Donald Trump,PR,Buncombe,37021,Donald,False,Trump,REP,Republican,100,P,North Carolina,2024-06-16T16:11:57.000Z,24545,64,63.8,15649
60420,Nikki Haley,PR,Buncombe,37021,Nikki,False,Haley,REP,Republican,100,P,North Carolina,2024-06-16T16:11:57.000Z,24545,33,33.4,8197
8639,Donald Trump,PR,Burke,37023,Donald,False,Trump,REP,Republican,84,P,North Carolina,2024-06-16T16:14:12.000Z,11532,78,78.5,9052
60420,Nikki Haley,PR,Burke,37023,Nikki,False,Haley,REP,Republican,84,P,North Carolina,2024-06-16T16:14:12.000Z,11532,19,18.9,2175
8639,Donald Trump,PR,Cabarrus,37025,Donald,False,Trump,REP,Republican,100,P,North Carolina,2024-06-16T16:13:32.000Z,23051,73,72.8,16780
60420,Nikki Haley,PR,Cabarrus,37025,Nikki,False,Haley,REP,Republican,100,P,North Carolina,2024-06-16T16:13:32.000Z,23051,24,24.1,5563
8639,Donald Trump,PR,Caldwell,37027,Donald,False,Trump,REP,Republican,100,P,North Carolina,2024-06-16T16:17:13.000Z,11168,81,81.1,9053
60420,Nikki Haley,PR,Caldwell,37027,Nikki,False,Haley,REP,Republican,100,P,North Carolina,2024-06-16T16:17:13.000Z,11168,17,16.6,1858
8639,Donald Trump,PR,Camden,37029,Donald,False,Trump,REP,Republican,77,P,North Carolina,2024-06-16T16:24:39.000Z,1488,83,82.9,1234
60420,Nikki Haley,PR,Camden,37029,Nikki,False,Haley,REP,Republican,77,P,North Carolina,2024-06-16T16:24:39.000Z,1488,15,14.7,219
8639,Donald Trump,PR,Carteret,37031,Donald,False,Trump,REP,Republican,100,P,North Carolina,2024-06-16T16:15:13.000Z,14130,79,78.7,11116
60420,Nikki Haley,PR,Carteret,37031,Nikki,False,Haley,REP,Republican,100,P,North Carolina,2024-06-16T16:15:13.000Z,14130,19,19.0,2686
8639,Donald Trump,PR,Caswell,37033,Donald,False,Trump,REP,Republican,100,P,North Carolina,2024-06-17T11:17:17.000Z,2508,90,89.9,2254
60420,Nikki Haley,PR,Caswell,37033,Nikki,False,Haley,REP,Republican,100,P,North Carolina,2024-06-17T11:17:17.000Z,2508,8,8.2,205
8639,Donald Trump,PR,Catawba,37035,Donald,False,Trump,REP,Republican,99,P,North Carolina,2024-06-16T16:13:12.000Z,22373,75,75.5,16889
60420,Nikki Haley,PR,Catawba,37035,Nikki,False,Haley,REP,Republican,99,P,North Carolina,2024-06-16T16:13:12.000Z,22373,22,22.1,4946
8639,Donald Trump,PR,Chatham,37037,Donald,False,Trump,REP,Republican,100,P,North Carolina,2024-06-17T11:15:36.000Z,9067,67,67.3,6101
