candidate_id,candidate_name,contest_type,county,fips,first_name,incumbent,last_name,party,party_name,pct_reporting,race_type,state,timestamp,total_votes,vote_pct,vote_pct_str,votes
8639,Donald Trump,PR,Accomack,51001,Donald,False,Trump,REP,Republican,85,P,Virginia,2024-06-18T17:59:29.000Z,2860,79,78.7,2250
60420,Nikki Haley,PR,Accomack,51001,Nikki,False,Haley,REP,Republican,85,P,Virginia,2024-06-18T17:59:29.000Z,2860,20,20.1,574
60420,Nikki Haley,PR,Albemarle,51003,Nikki,False,Haley,REP,Republican,80,P,Virginia,2024-06-18T17:45:38.000Z,9208,55,54.6,5032
8639,Donald Trump,PR,Albemarle,51003,Donald,False,Trump,REP,Republican,80,P,Virginia,2024-06-18T17:45:38.000Z,9208,43,43.0,3963
60420,Nikki Haley,PR,Alexandria,51510,Nikki,False,Haley,REP,Republican,91,P,Virginia,2024-05-23T20:36:46.000Z,9632,71,71.4,6873
8639,Donald Trump,PR,Alexandria,51510,Donald,False,Trump,REP,Republican,91,P,Virginia,2024-05-23T20:36:46.000Z,9632,26,25.8,2485
8639,Donald Trump,PR,Alleghany,51005,Donald,False,Trump,REP,Republican,99,P,Virginia,2024-06-18T17:49:18.000Z,1335,80,80.3,1072
60420,Nikki Haley,PR,Alleghany,51005,Nikki,False,Haley,REP,Republican,99,P,Virginia,2024-06-18T17:49:18.000Z,1335,18,18.3,244
8639,Donald Trump,PR,Amelia,51007,Donald,False,Trump,REP,Republican,92,P,Virginia,2024-05-23T20:31:28.000Z,1581,90,90.1,1424
60420,Nikki Haley,PR,Amelia,51007,Nikki,False,Haley,REP,Republican,92,P,Virginia,2024-05-23T20:31:28.000Z,1581,8,8.5,134
8639,Donald Trump,PR,Amherst,51009,Donald,False,Trump,REP,Republican,76,P,Virginia,2024-06-18T17:59:58.000Z,2650,81,81.2,2152
60420,Nikki Haley,PR,Amherst,51009,Nikki,False,Haley,REP,Republican,76,P,Virginia,2024-06-18T17:59:58.000Z,2650,16,16.5,437
8639,Donald Trump,PR,Appomattox,51011,Donald,False,Trump,REP,Republican,86,P,Virginia,2024-06-18T17:51:22.000Z,1622,84,84.4,1369
60420,Nikki Haley,PR,Appomattox,51011,Nikki,False,Haley,REP,Republican,86,P,Virginia,2024-06-18T17:51:22.000Z,1622,14,14.4,234
60420,Nikki Haley,PR,Arlington,51013,Nikki,False,Haley,REP,Republican,88,P,Virginia,2024-06-18T17:44:46.000Z,15185,74,73.7,11198
8639,Donald Trump,PR,Arlington,51013,Donald,False,Trump,REP,Republican,88,P,Virginia,2024-06-18T17:44:46.000Z,15185,24,23.8,3608
8639,Donald Trump,PR,Augusta,51015,Donald,False,Trump,REP,Republican,86,P,Virginia,2024-06-18T17:45:50.000Z,9251,78,78.5,7259
60420,Nikki Haley,PR,Augusta,51015,Nikki,False,Haley,REP,Republican,86,P,Virginia,2024-06-18T17:45:50.000Z,9251,20,19.8,1828
8639,Donald Trump,PR,Bath,51017,Donald,False,Trump,REP,Republican,95,P,Virginia,2024-06-18T17:52:40.000Z,612,81,80.5,493
60420,Nikki Haley,PR,Bath,51017,Nikki,False,Haley,REP,Republican,95,P,Virginia,2024-06-18T17:52:40.000Z,612,18,18.1,111
8639,Donald Trump,PR,Bedford,51019,Donald,False,Trump,REP,Republican,87,P,Virginia,2024-06-18T17:45:24.000Z,10335,76,76.1,7869
60420,Nikki Haley,PR,Bedford,51019,Nikki,False,Haley,REP,Republican,87,P,Virginia,2024-06-18T17:45:24.000Z,10335,22,21.9,2264
8639,Donald Trump,PR,Bland,51021,Donald,False,Trump,REP,Republican,85,P,Virginia,2024-06-18T18:00:35.000Z,707,86,86.1,609
60420,Nikki Haley,PR,Bland,51021,Nikki,False,Haley,REP,Republican,85,P,Virginia,2024-06-18T18:00:35.000Z,707,12,12.3,87
8639,Donald Trump,PR,Botetourt,51023,Donald,False,Trump,REP,Republican,95,P,Virginia,2024-06-18T17:50:42.000Z,4756,75,75.3,3583
60420,Nikki Haley,PR,Botetourt,51023,Nikki,False,Haley,REP,Republican,95,P,Virginia,2024-06-18T17:50:42.000Z,4756,23,23.2,1102
