candidate_id,candidate_name,contest_type,county,fips,first_name,incumbent,last_name,party,party_name,pct_reporting,race_type,state,timestamp,total_votes,vote_pct,vote_pct_str,votes
367,John Cornyn,SR,Anderson,48001,John,True,Cornyn,REP,Republican,98,S,Texas,2026-03-04T16:16:12.807Z,7072,43,42.6,3012
58352,Ken Paxton,SR,Anderson,48001,Ken,False,Paxton,REP,Republican,98,S,Texas,2026-03-04T16:16:12.807Z,7072,40,40.1,2836
68242,Wesley Hunt,SR,Anderson,48001,Wesley,False,Hunt,REP,Republican,98,S,Texas,2026-03-04T16:16:12.807Z,7072,15,14.7,1040
69840,Sara Canady,SR,Anderson,48001,Sara,False,Canady,REP,Republican,98,S,Texas,2026-03-04T16:16:12.807Z,7072,1,1.1,79
169980,Anna Bender,SR,Anderson,48001,Anna,False,Bender,REP,Republican,98,S,Texas,2026-03-04T16:16:12.807Z,7072,1,0.8,56
68154,Virgil Bierschwale,SR,Anderson,48001,Virgil,False,Bierschwale,REP,Republican,98,S,Texas,2026-03-04T16:16:12.807Z,7072,0,0.4,28
160846,Gulrez Khan,SR,Anderson,48001,Gulrez,False,Khan,REP,Republican,98,S,Texas,2026-03-04T16:16:12.807Z,7072,0,0.2,14
169981,John Adefope,SR,Anderson,48001,John,False,Adefope,REP,Republican,98,S,Texas,2026-03-04T16:16:12.807Z,7072,0,0.1,7
58352,Ken Paxton,SR,Andrews,48003,Ken,False,Paxton,REP,Republican,99,S,Texas,2026-03-04T17:36:26.936Z,1771,47,47.1,835
367,John Cornyn,SR,Andrews,48003,John,True,Cornyn,REP,Republican,99,S,Texas,2026-03-04T17:36:26.936Z,1771,33,33.5,593
68242,Wesley Hunt,SR,Andrews,48003,Wesley,False,Hunt,REP,Republican,99,S,Texas,2026-03-04T17:36:26.936Z,1771,13,12.8,226
69840,Sara Canady,SR,Andrews,48003,Sara,False,Canady,REP,Republican,99,S,Texas,2026-03-04T17:36:26.936Z,1771,2,1.9,34
169980,Anna Bender,SR,Andrews,48003,Anna,False,Bender,REP,Republican,99,S,Texas,2026-03-04T17:36:26.936Z,1771,1,1.6,28
160846,Gulrez Khan,SR,Andrews,48003,Gulrez,False,Khan,REP,Republican,99,S,Texas,2026-03-04T17:36:26.936Z,1771,1,1.6,28
68154,Virgil Bierschwale,SR,Andrews,48003,Virgil,False,Bierschwale,REP,Republican,99,S,Texas,2026-03-04T17:36:26.936Z,1771,1,0.8,14
169981,John Adefope,SR,Andrews,48003,John,False,Adefope,REP,Republican,99,S,Texas,2026-03-04T17:36:26.936Z,1771,1,0.7,13
367,John Cornyn,SR,Angelina,48005,John,True,Cornyn,REP,Republican,99,S,Texas,2026-03-04T17:36:31.086Z,10959,42,42.2,4622
58352,Ken Paxton,SR,Angelina,48005,Ken,False,Paxton,REP,Republican,99,S,Texas,2026-03-04T17:36:31.086Z,10959,41,40.9,4480
68242,Wesley Hunt,SR,Angelina,48005,Wesley,False,Hunt,REP,Republican,99,S,Texas,2026-03-04T17:36:31.086Z,10959,13,13.0,1420
169980,Anna Bender,SR,Angelina,48005,Anna,False,Bender,REP,Republican,99,S,Texas,2026-03-04T17:36:31.086Z,10959,2,1.8,193
69840,Sara Canady,SR,Angelina,48005,Sara,False,Canady,REP,Republican,99,S,Texas,2026-03-04T17:36:31.086Z,10959,1,1.0,114
68154,Virgil Bierschwale,SR,Angelina,48005,Virgil,False,Bierschwale,REP,Republican,99,S,Texas,2026-03-04T17:36:31.086Z,10959,0,0.4,49
160846,Gulrez Khan,SR,Angelina,48005,Gulrez,False,Khan,REP,Republican,99,S,Texas,2026-03-04T17:36:31.086Z,10959,0,0.4,47
169981,John Adefope,SR,Angelina,48005,John,False,Adefope,REP,Republican,99,S,Texas,2026-03-04T17:36:31.086Z,10959,0,0.3,34
58352,Ken Paxton,SR,Aransas,48007,Ken,False,Paxton,REP,Republican,99,S,Texas,2026-03-04T17:36:35.376Z,4508,44,43.8,1973
367,John Cornyn,SR,Aransas,48007,John,True,Cornyn,REP,Republican,99,S,Texas,2026-03-04T17:36:35.376Z,4508,42,41.6,1876
68242,Wesley Hunt,SR,Aransas,48007,Wesley,False,Hunt,REP,Republican,99,S,Texas,2026-03-04T17:36:35.376Z,4508,10,10.3,464
69840,Sara Canady,SR,Aransas,48007,Sara,False,Canady,REP,Republican,99,S,Texas,2026-03-04T17:36:35.376Z,4508,2,1.6,72
169980,Anna Bender,SR,Aransas,48007,Anna,False,Bender,REP,Republican,99,S,Texas,2026-03-04T17:36:35.376Z,4508,1,1.1,50
68154,Virgil Bierschwale,SR,Aransas,48007,Virgil,False,Bierschwale,REP,Republican,99,S,Texas,2026-03-04T17:36:35.376Z,4508,1,0.8,37
160846,Gulrez Khan,SR,Aransas,48007,Gulrez,False,Khan,REP,Republican,99,S,Texas,2026-03-04T17:36:35.376Z,4508,0,0.5,24
169981,John Adefope,SR,Aransas,48007,John,False,Adefope,REP,Republican,99,S,Texas,2026-03-04T17:36:35.376Z,4508,0,0.3,12
367,John Cornyn,SR,Archer,48009,John,True,Cornyn,REP,Republican,99,S,Texas,2026-03-04T17:36:39.052Z,1942,45,44.8,870
