candidate_id,candidate_name,contest_type,county,fips,first_name,incumbent,last_name,party,party_name,pct_reporting,race_type,state,timestamp,total_votes,vote_pct,vote_pct_str,votes
1036,Joe Biden,PD,Abbot,92300001,Joe,True,Biden,DEM,Democratic,95,P,Maine,2024-03-07T15:08:59.000Z,29,86,86.2,25
20286,Dean Phillips,PD,Abbot,92300001,Dean,False,Phillips,DEM,Democratic,95,P,Maine,2024-03-07T15:08:59.000Z,29,14,13.8,4
1036,Joe Biden,PD,Acton,92300002,Joe,True,Biden,DEM,Democratic,95,P,Maine,2024-03-06T05:32:47.000Z,118,81,81.4,96
20286,Dean Phillips,PD,Acton,92300002,Dean,False,Phillips,DEM,Democratic,95,P,Maine,2024-03-06T05:32:47.000Z,118,19,18.6,22
1036,Joe Biden,PD,Addison,92300003,Joe,True,Biden,DEM,Democratic,99,P,Maine,2024-03-06T02:25:13.000Z,24,96,95.8,23
20286,Dean Phillips,PD,Addison,92300003,Dean,False,Phillips,DEM,Democratic,99,P,Maine,2024-03-06T02:25:13.000Z,24,4,4.2,1
1036,Joe Biden,PD,Albion,92300005,Joe,True,Biden,DEM,Democratic,99,P,Maine,2024-03-06T02:37:26.000Z,38,87,86.8,33
20286,Dean Phillips,PD,Albion,92300005,Dean,False,Phillips,DEM,Democratic,99,P,Maine,2024-03-06T02:37:26.000Z,38,13,13.2,5
1036,Joe Biden,PD,Alexander,92300006,Joe,True,Biden,DEM,Democratic,93,P,Maine,2024-03-06T16:53:25.000Z,14,86,85.7,12
20286,Dean Phillips,PD,Alexander,92300006,Dean,False,Phillips,DEM,Democratic,93,P,Maine,2024-03-06T16:53:25.000Z,14,14,14.3,2
1036,Joe Biden,PD,Alfred,92300007,Joe,True,Biden,DEM,Democratic,99,P,Maine,2024-03-06T02:37:28.000Z,157,85,85.4,134
20286,Dean Phillips,PD,Alfred,92300007,Dean,False,Phillips,DEM,Democratic,99,P,Maine,2024-03-06T02:37:28.000Z,157,15,14.6,23
1036,Joe Biden,PD,Allagash,92300008,Joe,True,Biden,DEM,Democratic,95,P,Maine,2024-03-27T17:24:05.000Z,13,92,92.3,12
