candidate_id,candidate_name,contest_type,county,fips,first_name,incumbent,last_name,party,party_name,pct_reporting,race_type,state,timestamp,total_votes,vote_pct,vote_pct_str,votes
34471,Roy Cooper,SD,Alamance,37001,Roy,False,Cooper,DEM,Democratic,99,S,North Carolina,2026-03-04T03:27:21.336Z,11116,92,92.1,10237
35964,Marcus Williams,SD,Alamance,37001,Marcus,False,Williams,DEM,Democratic,99,S,North Carolina,2026-03-04T03:27:21.336Z,11116,3,2.7,303
160577,Justin Dues,SD,Alamance,37001,Justin,False,Dues,DEM,Democratic,99,S,North Carolina,2026-03-04T03:27:21.336Z,11116,2,2.4,267
68333,Daryl Farrow,SD,Alamance,37001,Daryl,False,Farrow,DEM,Democratic,99,S,North Carolina,2026-03-04T03:27:21.336Z,11116,1,1.3,140
68364,Robert Colon,SD,Alamance,37001,Robert,False,Colon,DEM,Democratic,99,S,North Carolina,2026-03-04T03:27:21.336Z,11116,1,0.8,87
169295,Orrick Quick,SD,Alamance,37001,Orrick,False,Quick,DEM,Democratic,99,S,North Carolina,2026-03-04T03:27:21.336Z,11116,1,0.7,82
34471,Roy Cooper,SD,Alexander,37003,Roy,False,Cooper,DEM,Democratic,99,S,North Carolina,2026-03-04T02:56:26.482Z,837,88,88.1,737
35964,Marcus Williams,SD,Alexander,37003,Marcus,False,Williams,DEM,Democratic,99,S,North Carolina,2026-03-04T02:56:26.482Z,837,4,3.7,31
160577,Justin Dues,SD,Alexander,37003,Justin,False,Dues,DEM,Democratic,99,S,North Carolina,2026-03-04T02:56:26.482Z,837,3,2.9,24
68364,Robert Colon,SD,Alexander,37003,Robert,False,Colon,DEM,Democratic,99,S,North Carolina,2026-03-04T02:56:26.482Z,837,2,2.0,17
68333,Daryl Farrow,SD,Alexander,37003,Daryl,False,Farrow,DEM,Democratic,99,S,North Carolina,2026-03-04T02:56:26.482Z,837,2,2.0,17
169295,Orrick Quick,SD,Alexander,37003,Orrick,False,Quick,DEM,Democratic,99,S,North Carolina,2026-03-04T02:56:26.482Z,837,1,1.3,11
34471,Roy Cooper,SD,Alleghany,37005,Roy,False,Cooper,DEM,Democratic,99,S,North Carolina,2026-03-04T01:57:13.808Z,495,88,88.1,436
68333,Daryl Farrow,SD,Alleghany,37005,Daryl,False,Farrow,DEM,Democratic,99,S,North Carolina,2026-03-04T01:57:13.808Z,495,4,4.0,20
35964,Marcus Williams,SD,Alleghany,37005,Marcus,False,Williams,DEM,Democratic,99,S,North Carolina,2026-03-04T01:57:13.808Z,495,3,2.8,14
160577,Justin Dues,SD,Alleghany,37005,Justin,False,Dues,DEM,Democratic,99,S,North Carolina,2026-03-04T01:57:13.808Z,495,2,2.0,10
169295,Orrick Quick,SD,Alleghany,37005,Orrick,False,Quick,DEM,Democratic,99,S,North Carolina,2026-03-04T01:57:13.808Z,495,2,1.6,8
68364,Robert Colon,SD,Alleghany,37005,Robert,False,Colon,DEM,Democratic,99,S,North Carolina,2026-03-04T01:57:13.808Z,495,1,1.4,7
34471,Roy Cooper,SD,Anson,37007,Roy,False,Cooper,DEM,Democratic,99,S,North Carolina,2026-03-04T02:03:18.612Z,2236,90,89.9,2010
35964,Marcus Williams,SD,Anson,37007,Marcus,False,Williams,DEM,Democratic,99,S,North Carolina,2026-03-04T02:03:18.612Z,2236,3,2.8,62
68333,Daryl Farrow,SD,Anson,37007,Daryl,False,Farrow,DEM,Democratic,99,S,North Carolina,2026-03-04T02:03:18.612Z,2236,2,2.3,51
169295,Orrick Quick,SD,Anson,37007,Orrick,False,Quick,DEM,Democratic,99,S,North Carolina,2026-03-04T02:03:18.612Z,2236,2,2.2,50
68364,Robert Colon,SD,Anson,37007,Robert,False,Colon,DEM,Democratic,99,S,North Carolina,2026-03-04T02:03:18.612Z,2236,2,1.5,34
160577,Justin Dues,SD,Anson,37007,Justin,False,Dues,DEM,Democratic,99,S,North Carolina,2026-03-04T02:03:18.612Z,2236,1,1.3,29
34471,Roy Cooper,SD,Ashe,37009,Roy,False,Cooper,DEM,Democratic,99,S,North Carolina,2026-03-04T16:11:01.826Z,1150,93,93.1,1071
35964,Marcus Williams,SD,Ashe,37009,Marcus,False,Williams,DEM,Democratic,99,S,North Carolina,2026-03-04T16:11:01.826Z,1150,3,2.6,30
160577,Justin Dues,SD,Ashe,37009,Justin,False,Dues,DEM,Democratic,99,S,North Carolina,2026-03-04T16:11:01.826Z,1150,2,1.7,20
68333,Daryl Farrow,SD,Ashe,37009,Daryl,False,Farrow,DEM,Democratic,99,S,North Carolina,2026-03-04T16:11:01.826Z,1150,1,1.3,15
169295,Orrick Quick,SD,Ashe,37009,Orrick,False,Quick,DEM,Democratic,99,S,North Carolina,2026-03-04T16:11:01.826Z,1150,1,0.8,9
68364,Robert Colon,SD,Ashe,37009,Robert,False,Colon,DEM,Democratic,99,S,North Carolina,2026-03-04T16:11:01.826Z,1150,0,0.4,5
