county,fips,total_votes,precincts_reporting,precincts_total,Carl Sherman_votes,Carl Sherman_pct,Colin Allred_votes,Colin Allred_pct,Heli Prilliman_votes,Heli Prilliman_pct,Mark Gonzalez_votes,Mark Gonzalez_pct,Meri Gomez_votes,Meri Gomez_pct,Robert Hassan_votes,Robert Hassan_pct,Roland Gutierrez_votes,Roland Gutierrez_pct,Steven Keough_votes,Steven Keough_pct,Thierry Tchenko_votes,Thierry Tchenko_pct
Anderson,48001,673,23,23,43,6.39,446,66.27,11,1.63,46,6.84,37,5.5,14,2.08,41,6.09,25,3.71,10,1.49
Andrews,48003,106,5,5,5,4.72,32,30.19,2,1.89,13,12.26,22,20.75,2,1.89,20,18.87,7,6.6,3,2.83
Angelina,48005,1100,41,41,96,8.73,609,55.36,22,2.0,134,12.18,69,6.27,30,2.73,69,6.27,43,3.91,28,2.55
Aransas,48007,476,7,7,11,2.31,213,44.75,9,1.89,74,15.55,33,6.93,9,1.89,85,17.86,18,3.78,24,5.04
Archer,48009,75,14,14,0,0.0,34,45.33,0,0.0,7,9.33,9,12.0,2,2.67,14,18.67,5,6.67,4,5.33
Armstrong,48011,8,10,10,0,0.0,4,50.0,0,0.0,3,37.5,1,12.5,0,0.0,0,0.0,0,0.0,0,0.0
Atascosa,48013,1056,21,21,12,1.14,341,32.29,62,5.87,87,8.24,81,7.67,7,0.66,425,40.25,21,1.99,20,1.89
Austin,48015,481,16,16,10,2.08,321,66.74,10,2.08,24,4.99,23,4.78,11,2.29,58,12.06,18,3.74,6,1.25
Bailey,48017,36,5,5,2,5.56,6,16.67,2,5.56,6,16.67,8,22.22,1,2.78,9,25.0,2,5.56,0,0.0
Bandera,48019,466,11,11,7,1.5,268,57.51,16,3.43,25,5.36,31,6.65,8,1.72,73,15.67,26,5.58,12,2.58
Bastrop,48021,3577,26,26,73,2.04,2164,60.5,79,2.21,213,5.95,176,4.92,43,1.2,646,18.06,111,3.1,72,2.01
Baylor,48023,31,5,5,2,6.45,16,51.61,1,3.23,2,6.45,4,12.9,2,6.45,3,9.68,0,0.0,1,3.23
Bee,48025,516,14,14,10,1.94,88,17.05,12,2.33,172,33.33,38,7.36,9,1.74,149,28.88,22,4.26,16,3.1
Bell,48027,8437,64,65,525,6.22,4891,57.97,225,2.67,474,5.62,575,6.82,214,2.54,766,9.08,549,6.51,218,2.58
Bexar,48029,75277,777,279,1000,1.33,35400,47.03,1571,2.09,6177,8.21,3833,5.09,1207,1.6,23573,31.32,1474,1.96,1042,1.38
Blanco,48031,509,6,6,5,0.98,338,66.4,20,3.93,13,2.55,19,3.73,3,0.59,88,17.29,13,2.55,10,1.96
Borden,48033,2,6,6,0,0.0,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0,1,50.0,0,0.0,0,0.0
Bosque,48035,269,12,12,11,4.09,198,73.61,8,2.97,9,3.35,9,3.35,0,0.0,22,8.18,2,0.74,10,3.72
Bowie,48037,1695,50,50,189,11.15,917,54.1,64,3.78,121,7.14,87,5.13,54,3.19,100,5.9,106,6.25,57,3.36
Brazoria,48039,10692,81,81,473,4.42,7255,67.85,202,1.89,507,4.74,531,4.97,340,3.18,821,7.68,274,2.56,289,2.7
Brazos,48041,3795,110,110,114,3.0,2144,56.5,93,2.45,78,2.06,259,6.82,23,0.61,843,22.21,172,4.53,69,1.82
Brewster,48043,625,9,9,10,1.6,264,42.24,21,3.36,50,8.0,36,5.76,7,1.12,216,34.56,13,2.08,8,1.28
Briscoe,48045,20,6,6,1,5.0,6,30.0,1,5.0,3,15.0,4,20.0,0,0.0,2,10.0,3,15.0,0,0.0
Brooks,48047,1037,5,5,25,2.41,64,6.17,15,1.45,474,45.71,66,6.36,11,1.06,366,35.29,9,0.87,7,0.68
Brown,48049,253,19,19,10,3.95,130,51.38,6,2.37,23,9.09,19,7.51,10,3.95,30,11.86,14,5.53,11,4.35
Burleson,48051,361,14,14,8,2.22,239,66.2,4,1.11,13,3.6,22,6.09,9,2.49,33,9.14,30,8.31,3,0.83
Burnet,48053,1230,21,21,39,3.17,906,73.66,28,2.28,26,2.11,48,3.9,12,0.98,130,10.57,27,2.2,14,1.14
Caldwell,48055,1491,25,25,18,1.21,735,49.3,43,2.88,112,7.51,184,12.34,16,1.07,327,21.93,33,2.21,23,1.54
Calhoun,48057,219,12,12,5,2.28,112,51.14,9,4.11,19,8.68,14,6.39,3,1.37,45,20.55,5,2.28,7,3.2
Callahan,48059,82,9,9,2,2.44,38,46.34,4,4.88,6,7.32,9,10.98,3,3.66,10,12.2,7,8.54,3,3.66
Cameron,48061,16575,102,102,804,4.85,3612,21.79,833,5.03,3504,21.14,1544,9.32,433,2.61,5165,31.16,518,3.13,162,0.98
Camp,48063,239,5,5,13,5.44,133,55.65,11,4.6,22,9.21,16,6.69,5,2.09,4,1.67,25,10.46,10,4.18
Carson,48065,37,9,9,2,5.41,17,45.95,0,0.0,5,13.51,2,5.41,2,5.41,6,16.22,2,5.41,1,2.7
Cass,48067,486,19,19,35,7.2,258,53.09,13,2.67,42,8.64,30,6.17,15,3.09,39,8.02,46,9.47,8,1.65
Castro,48069,56,9,9,2,3.57,20,35.71,2,3.57,17,30.36,4,7.14,1,1.79,6,10.71,4,7.14,0,0.0
Chambers,48071,508,20,20,33,6.5,309,60.83,21,4.13,51,10.04,17,3.35,15,2.95,37,7.28,15,2.95,10,1.97
Cherokee,48073,660,26,26,35,5.3,298,45.15,10,1.52,47,7.12,45,6.82,15,2.27,73,11.06,126,19.09,11,1.67
Childress,48075,27,5,5,0,0.0,14,51.85,3,11.11,2,7.41,2,7.41,1,3.7,2,7.41,3,11.11,0,0.0
Clay,48077,71,16,16,5,7.04,43,60.56,3,4.23,5,7.04,4,5.63,6,8.45,1,1.41,4,5.63,0,0.0
Cochran,48079,19,6,6,0,0.0,4,21.05,1,5.26,4,21.05,2,10.53,1,5.26,6,31.58,1,5.26,0,0.0
Coke,48081,18,5,5,3,16.67,5,27.78,1,5.56,4,22.22,0,0.0,2,11.11,1,5.56,2,11.11,0,0.0
Coleman,48083,56,6,6,0,0.0,23,41.07,3,5.36,4,7.14,3,5.36,5,8.93,10,17.86,3,5.36,5,8.93
Collin,48085,35028,253,253,552,1.58,26751,76.37,388,1.11,1500,4.28,1017,2.9,426,1.22,3551,10.14,495,1.41,348,0.99
Collingsworth,48087,9,8,8,0,0.0,5,55.56,0,0.0,1,11.11,0,0.0,3,33.33,0,0.0,0,0.0,0,0.0
