county,fips,total_votes,precincts_reporting,precincts_total,Holland Gibson_votes,Holland Gibson_pct,Rufus Lopez_votes,Rufus Lopez_pct,Ted Cruz_votes,Ted Cruz_pct
Anderson,48001,7947,23,23,353,4.44,313,3.94,7281,91.62
Andrews,48003,1857,5,5,56,3.02,100,5.39,1701,91.6
Angelina,48005,10326,41,41,409,3.96,275,2.66,9642,93.38
Aransas,48007,4534,7,7,215,4.74,227,5.01,4092,90.25
Archer,48009,2194,14,14,77,3.51,51,2.32,2066,94.17
Armstrong,48011,561,10,10,25,4.46,16,2.85,520,92.69
Atascosa,48013,5343,21,21,244,4.57,363,6.79,4736,88.64
Austin,48015,5231,16,16,289,5.52,121,2.31,4821,92.16
Bailey,48017,681,5,5,18,2.64,33,4.85,630,92.51
Bandera,48019,5704,11,11,279,4.89,270,4.73,5155,90.38
Bastrop,48021,10459,26,26,718,6.86,557,5.33,9184,87.81
Baylor,48023,591,5,5,10,1.69,13,2.2,568,96.11
Bee,48025,3643,14,14,265,7.27,378,10.38,3000,82.35
Bell,48027,28157,64,65,1737,6.17,1839,6.53,24581,87.3
Bexar,48029,99550,267,279,7888,7.92,7005,7.04,84657,85.04
Blanco,48031,3050,6,6,137,4.49,131,4.3,2782,91.21
Borden,48033,216,6,6,6,2.78,2,0.93,208,96.3
Bosque,48035,3603,12,12,186,5.16,108,3.0,3309,91.84
Bowie,48037,11343,50,50,627,5.53,329,2.9,10387,91.57
Brazoria,48039,33413,81,81,1680,5.03,1713,5.13,30020,89.85
Brazos,48041,20433,110,110,1440,7.05,1771,8.67,17222,84.29
Brewster,48043,1210,9,9,76,6.28,100,8.26,1034,85.45
Briscoe,48045,442,6,6,10,2.26,20,4.52,412,93.21
Brooks,48047,125,5,5,6,4.8,7,5.6,112,89.6
Brown,48049,5612,19,19,220,3.92,139,2.48,5253,93.6
Burleson,48051,3439,14,14,105,3.05,83,2.41,3251,94.53
Burnet,48053,9507,21,21,583,6.13,426,4.48,8498,89.39
Caldwell,48055,3652,25,25,247,6.76,211,5.78,3194,87.46
Calhoun,48057,3285,12,12,214,6.51,277,8.43,2794,85.05
Callahan,48059,2653,9,9,88,3.32,84,3.17,2481,93.52
Cameron,48061,14353,102,102,674,4.7,980,6.83,12699,88.48
Camp,48063,2049,5,5,116,5.66,53,2.59,1880,91.75
Carson,48065,1335,9,9,34,2.55,39,2.92,1262,94.53
Cass,48067,5514,19,19,211,3.83,112,2.03,5191,94.14
Castro,48069,638,9,9,19,2.98,26,4.08,593,92.95
Chambers,48071,7765,20,20,418,5.38,207,2.67,7140,91.95
Cherokee,48073,6442,26,26,304,4.72,124,1.92,6014,93.36
Childress,48075,808,5,5,14,1.73,26,3.22,768,95.05
Clay,48077,2221,16,16,122,5.49,84,3.78,2015,90.72
Cochran,48079,384,6,6,22,5.73,29,7.55,333,86.72
Coke,48081,872,5,5,44,5.05,19,2.18,809,92.78
Coleman,48083,1977,6,6,79,4.0,38,1.92,1860,94.08
Collin,48085,95453,253,253,7897,8.27,6793,7.12,80763,84.61
Collingsworth,48087,589,8,8,21,3.57,21,3.57,547,92.87
Colorado,48089,4462,11,11,199,4.46,204,4.57,4059,90.97
Comal,48091,26495,34,34,1253,4.73,1359,5.13,23883,90.14
Comanche,48093,2482,15,15,105,4.23,94,3.79,2283,91.98
Concho,48095,606,0,9,31,5.12,32,5.28,543,89.6
Cooke,48097,7358,18,18,350,4.76,259,3.52,6749,91.72
Coryell,48099,6193,17,17,412,6.65,266,4.3,5515,89.05
Cottle,48101,417,0,5,9,2.16,21,5.04,387,92.81
Crane,48103,534,5,5,18,3.37,17,3.18,499,93.45
Crockett,48105,543,5,5,18,3.31,35,6.45,490,90.24
Crosby,48107,849,0,5,35,4.12,85,10.01,729,85.87
Culberson,48109,101,0,6,6,5.94,3,2.97,92,91.09
Dallam,48111,608,10,10,25,4.11,15,2.47,568,93.42
Dallas,48113,99722,0,886,8750,8.77,9340,9.37,81632,81.86
Dawson,48115,1721,5,5,84,4.88,167,9.7,1470,85.42
DeWitt,48123,3073,10,10,143,4.65,104,3.38,2826,91.96
Deaf Smith,48117,1882,0,5,121,6.43,165,8.77,1596,84.8
Delta,48119,1520,0,8,96,6.32,64,4.21,1360,89.47
Denton,48121,90753,240,240,6568,7.24,5225,5.76,78960,87.01
Dickens,48125,601,0,7,38,6.32,22,3.66,541,90.02
Dimmit,48127,204,8,8,18,8.82,12,5.88,174,85.29
Donley,48129,652,5,5,34,5.21,9,1.38,609,93.4
Duval,48131,231,10,10,9,3.9,23,9.96,199,86.15
Eastland,48133,2814,0,10,93,3.3,77,2.74,2644,93.96
Ector,48135,9078,0,42,346,3.81,400,4.41,8332,91.78
Edwards,48137,628,0,5,27,4.3,56,8.92,545,86.78
El Paso,48141,19956,221,221,1200,6.01,1599,8.01,17157,85.97
Ellis,48139,21128,0,59,1005,4.76,1152,5.45,18971,89.79
Erath,48143,5850,22,22,215,3.68,246,4.21,5389,92.12
Falls,48145,1939,0,12,111,5.72,58,2.99,1770,91.28
Fannin,48147,6571,18,18,375,5.71,227,3.45,5969,90.84
Fayette,48149,5508,0,13,288,5.23,216,3.92,5004,90.85
Fisher,48151,625,0,5,23,3.68,11,1.76,591,94.56
Floyd,48153,834,5,5,46,5.52,30,3.6,758,90.89
Foard,48155,345,5,5,26,7.54,12,3.48,307,88.99
Fort Bend,48157,54258,170,175,2897,5.34,4036,7.44,47325,87.22
Franklin,48159,2193,0,9,78,3.56,98,4.47,2017,91.97
Freestone,48161,2773,0,14,118,4.26,76,2.74,2579,93.0
Frio,48163,696,0,9,32,4.6,32,4.6,632,90.8
Gaines,48165,2119,8,8,88,4.15,61,2.88,1970,92.97
Galveston,48167,33019,0,96,1798,5.45,1975,5.98,29246,88.57
Garza,48169,814,0,7,32,3.93,34,4.18,748,91.89
Gillespie,48171,7961,0,14,311,3.91,403,5.06,7247,91.03
Glasscock,48173,363,0,4,13,3.58,12,3.31,338,93.11
Goliad,48175,1717,0,10,94,5.47,93,5.42,1530,89.11
Gonzales,48177,2955,16,16,170,5.75,109,3.69,2676,90.56
Gray,48179,2877,8,8,126,4.38,65,2.26,2686,93.36
Grayson,48181,21247,42,42,985,4.64,1285,6.05,18977,89.32
Gregg,48183,11941,21,21,489,4.1,364,3.05,11088,92.86
Grimes,48185,5613,0,14,317,5.65,152,2.71,5144,91.64
Guadalupe,48187,20123,0,77,988,4.91,1153,5.73,17982,89.36
Hale,48189,3190,0,31,112,3.51,165,5.17,2913,91.32
Hall,48191,506,8,8,6,1.19,6,1.19,494,97.63
Hamilton,48193,2336,0,5,184,7.88,91,3.9,2061,88.23
Hansford,48195,1192,0,9,29,2.43,42,3.52,1121,94.04
Hardeman,48197,490,0,5,18,3.67,13,2.65,459,93.67
Hardin,48199,9521,20,20,238,2.5,209,2.2,9074,95.31
Harris,48201,196654,545,512,14377,7.31,10326,5.25,171951,87.44
Harrison,48203,8706,0,27,354,4.07,255,2.93,8097,93.0
Hartley,48205,1002,7,7,16,1.6,31,3.09,955,95.31
Haskell,48207,962,0,11,34,3.53,37,3.85,891,92.62
Hays,48209,17652,0,88,1506,8.53,1301,7.37,14845,84.1
Hemphill,48211,685,0,8,28,4.09,28,4.09,629,91.82
Henderson,48213,11669,0,31,570,4.88,389,3.33,10710,91.78
Hidalgo,48215,17522,259,260,900,5.14,973,5.55,15649,89.31
Hill,48217,5615,0,13,333,5.93,245,4.36,5037,89.71
Hockley,48219,3227,0,12,184,5.7,120,3.72,2923,90.58
Hood,48221,13562,17,18,954,7.03,529,3.9,12079,89.07
Hopkins,48223,5976,22,22,337,5.64,166,2.78,5473,91.58
Houston,48225,3990,0,22,139,3.48,70,1.75,3781,94.76
Howard,48227,2974,34,34,163,5.48,131,4.4,2680,90.11
