district_geoid,district_name,votes_dem,votes_rep,votes_total,state,dem_pct,rep_pct,dem_lead_pct,winner,representative,reelection_year,served_since
0101,Congressional District 1,74960,244783,323239,AL,23.19,75.73,-52.54,REP,"Moore, Barry",2026.0,2025.0
0102,Congressional District 2,153658,150985,308587,AL,49.79,48.93,0.86,DEM,"Figures, Shomari",2026.0,2025.0
0103,Congressional District 3,85443,235543,324579,AL,26.32,72.57,-46.25,REP,"Rogers, Mike",2026.0,2003.0
0104,Congressional District 4,51145,267001,321403,AL,15.91,83.07,-67.16,REP,"Aderholt, Robert",2026.0,1997.0
0105,Congressional District 5,120664,216261,343164,AL,35.16,63.02,-27.86,REP,"Strong, Dale",2026.0,2023.0
0106,Congressional District 6,102432,222490,330220,AL,31.02,67.38,-36.36,REP,"Palmer, Gary",2026.0,2015.0
0107,Congressional District 7,183745,121584,309502,AL,59.37,39.28,20.09,DEM,"Sewell, Terri",2026.0,2011.0
0401,Congressional District 1,211179,226062,441482,AZ,47.83,51.21,-3.38,REP,"Schweikert, David",2026.0,2023.0
0402,Congressional District 2,196071,262172,462911,AZ,42.36,56.64,-14.28,REP,"Crane, Eli",2026.0,2023.0
0403,Congressional District 3,147009,74896,224895,AZ,65.37,33.3,32.07,DEM,"Ansari, Yassamin",2026.0,2025.0
0404,Congressional District 4,161107,140931,306354,AZ,52.59,46.0,6.59,DEM,"Stanton, Greg",2026.0,2023.0
0405,Congressional District 5,175504,252397,432658,AZ,40.56,58.34,-17.78,REP,"Biggs, Andy",2026.0,2017.0
0406,Congressional District 6,205690,205909,416291,AZ,49.41,49.46,-0.05,REP,"Ciscomani, Juan",2026.0,2023.0
0407,Congressional District 7,177358,119819,300617,AZ,59.0,39.86,19.14,DEM,"Grijalva, Adelita",2026.0,2025.0
0408,Congressional District 8,163929,224419,392026,AZ,41.82,57.25,-15.43,REP,"Hamadeh, Abraham",2026.0,2025.0
0409,Congressional District 9,141659,246719,391757,AZ,36.16,62.98,-26.82,REP,"Gosar, Paul",2026.0,2023.0
0501,Congressional District 1,75680,197571,278485,AR,27.18,70.94,-43.76,REP,"Crawford, Eric “Rick”",2026.0,2011.0
0502,Congressional District 2,130548,177983,316154,AR,41.29,56.3,-15.01,REP,"Hill, French",2026.0,2015.0
0503,Congressional District 3,111070,187163,306594,AR,36.23,61.05,-24.82,REP,"Womack, Steve",2026.0,2011.0
0504,Congressional District 4,80811,201708,287811,AR,28.08,70.08,-42.0,REP,"Weerman, Bruce",2026.0,2015.0
0601,Congressional District 1,118494,200267,327978,CA,36.13,61.06,-24.93,REP,,,
0602,Congressional District 2,278553,101005,392853,CA,70.91,25.71,45.2,DEM,"Huffman, Jared",2026.0,2013.0
0603,Congressional District 3,203593,220837,438122,CA,46.47,50.41,-3.94,REP,"Kiley, Kevin",2026.0,2023.0
0604,Congressional District 4,220079,112383,343303,CA,64.11,32.74,31.37,DEM,"Thompson, Mike",2026.0,2023.0
0605,Congressional District 5,146440,208999,364843,CA,40.14,57.28,-17.14,REP,"McClintock, Tom",2026.0,2023.0
0606,Congressional District 6,165359,124695,300386,CA,55.05,41.51,13.54,DEM,"Bera, Ami",2026.0,2023.0
0607,Congressional District 7,196488,102414,310019,CA,63.38,33.03,30.35,DEM,"Matsui, Doris",2026.0,2023.0
0608,Congressional District 8,200281,77231,286917,CA,69.8,26.92,42.88,DEM,"Garamendi, John",2026.0,2023.0
0609,Congressional District 9,122542,127209,257553,CA,47.58,49.39,-1.81,REP,"Harder, Josh",2026.0,2023.0
0610,Congressional District 10,245490,117131,375251,CA,65.42,31.21,34.21,DEM,"DeSaulnier, Mark",2026.0,2023.0
0611,Congressional District 11,296025,51133,362067,CA,81.76,14.12,67.64,DEM,"Pelosi, Nancy",2026.0,2023.0
0612,Congressional District 12,265243,38067,318544,CA,83.27,11.95,71.32,DEM,"Simon, Lateefah",2026.0,2025.0
0613,Congressional District 13,107705,122437,236614,CA,45.52,51.75,-6.23,REP,"Gray, Adam",2026.0,2025.0
0614,Congressional District 14,193663,86386,291728,CA,66.38,29.61,36.77,DEM,"Swalwell, Eric",2026.0,2023.0
0615,Congressional District 15,219610,73966,304291,CA,72.17,24.31,47.86,DEM,"Mullin, Kevin",2026.0,2023.0
0616,Congressional District 16,245609,79784,337665,CA,72.74,23.63,49.11,DEM,"Liccardo, Sam",2026.0,2025.0
0617,Congressional District 17,177999,75669,265336,CA,67.08,28.52,38.56,DEM,"Khanna, Ro",2026.0,2017.0
0618,Congressional District 18,152886,82210,242806,CA,62.97,33.86,29.11,DEM,"Lofgren, Zoe",2026.0,2023.0
0619,Congressional District 19,243506,114029,370511,CA,65.72,30.78,34.94,DEM,"Panetta, Jimmy",2026.0,2023.0
0620,Congressional District 20,110000,205020,322619,CA,34.1,63.55,-29.45,REP,"Fong, Vince",2026.0,2024.0
0621,Congressional District 21,96230,89762,191059,CA,50.37,46.98,3.39,DEM,"Coa, Jim",2026.0,2023.0
0622,Congressional District 22,80108,94285,179051,CA,44.74,52.66,-7.92,REP,"Valadao, David",2026.0,2023.0
0623,Congressional District 23,122244,165728,296074,CA,41.29,55.98,-14.69,REP,"Obernolte, Jay",2026.0,2023.0
0624,Congressional District 24,214560,128825,354389,CA,60.54,36.35,24.19,DEM,"Carbajal, Salud",2026.0,2017.0
0625,Congressional District 25,132976,126788,265946,CA,50.0,47.67,2.33,DEM,"Ruiz, Raul",2026.0,2023.0
0626,Congressional District 26,193523,145559,348972,CA,55.46,41.71,13.75,DEM,"Brownley, Julia",2026.0,2013.0
0627,Congressional District 27,164807,145701,319929,CA,51.51,45.54,5.97,DEM,"Whitesides, George",2026.0,2025.0
0628,Congressional District 28,182158,101441,293345,CA,62.1,34.58,27.52,DEM,"Chu, Judy",2026.0,2023.0
0629,Congressional District 29,142614,68937,218430,CA,65.29,31.56,33.73,DEM,"Rivas, Luz",2026.0,2025.0
0630,Congressional District 30,209762,89821,310273,CA,67.61,28.95,38.66,DEM,"Friedman, Laura",2026.0,2025.0
0631,Congressional District 31,154887,105523,268572,CA,57.67,39.29,18.38,DEM,"Cisneros, Gilbert",2026.0,2025.0
0632,Congressional District 32,226353,115697,352566,CA,64.2,32.82,31.38,DEM,"Sherman, Brad",2026.0,2023.0
0633,Congressional District 33,122904,103702,233421,CA,52.65,44.43,8.22,DEM,"Aguilar, Pete",2026.0,2023.0
0634,Congressional District 34,162198,51229,223255,CA,72.65,22.95,49.7,DEM,"Gomez, Jimmy",2026.0,2017.0
0635,Congressional District 35,133479,108032,248878,CA,53.63,43.41,10.22,DEM,"Torres, Northma",2026.0,2015.0
0636,Congressional District 36,286747,126451,426933,CA,67.16,29.62,37.54,DEM,"Lieu, Ted",2026.0,2023.0
0637,Congressional District 37,177278,42255,226656,CA,78.21,18.64,59.57,DEM,"Kamlager-Dove, Sydney",2026.0,2023.0
0638,Congressional District 38,165834,111482,286310,CA,57.92,38.94,18.98,DEM,"Sánchez, Linda",2026.0,2013.0
0639,Congressional District 39,123583,103056,233840,CA,52.85,44.07,8.78,DEM,"Takano, Mark",2026.0,2023.0
0640,Congressional District 40,181935,190207,385319,CA,47.22,49.36,-2.14,REP,"Kim, Young",2026.0,2023.0
0641,Congressional District 41,165387,188618,363542,CA,45.49,51.88,-6.39,REP,"Calvert, Ken",2026.0,2023.0
0642,Congressional District 42,161028,80759,250387,CA,64.31,32.25,32.06,DEM,"Garcia, Robert Julio",2026.0,2023.0
0643,Congressional District 43,172410,55224,235143,CA,73.32,23.49,49.83,DEM,"Waters, Maxine",2026.0,2013.0
0644,Congressional District 44,164465,77354,249803,CA,65.84,30.97,34.87,DEM,"Barragán, Nanette",2026.0,2017.0
0645,Congressional District 45,167337,160599,337991,CA,49.51,47.52,1.99,DEM,"Tran, Derek",2026.0,2025.0
0646,Congressional District 46,120465,84068,211060,CA,57.08,39.83,17.25,DEM,"Correa, Luis",2026.0,2017.0
0647,Congressional District 47,181568,165975,360023,CA,50.43,46.1,4.33,DEM,"Min, Dave",2026.0,2025.0
0648,Congressional District 48,154185,206944,370375,CA,41.63,55.87,-14.24,REP,"Issa, Darrell",2026.0,2023.0
0649,Congressional District 49,203274,171175,385422,CA,52.74,44.41,8.33,DEM,"Levin, Mike",2026.0,2019.0
0650,Congressional District 50,219962,119879,351618,CA,62.56,34.09,28.47,DEM,"Peters, Scott",2026.0,2023.0
0651,Congressional District 51,214065,127164,352206,CA,60.78,36.11,24.67,DEM,"Jacobs, Sara",2026.0,2023.0
0652,Congressional District 52,159170,101497,267767,CA,59.44,37.9,21.54,DEM,"Vargas, Juan",2026.0,2023.0
0801,Congressional District 1,264670,69341,344024,CO,76.93,20.16,56.77,DEM,"DeGette, Diana",2026.0,1997.0
